nb, nq, d, topk, generate_data_time (ÊØ), index_time (∫¡√Î), total_search_time (∫¡√Î), cost per query (∫¡√Î)
100000,10000,128,1,111.26,25.671,820.031,0.082003
100000,10000,256,1,220.554,48.918,444.831,0.044483
100000,10000,512,1,449.236,94.121,912.914,0.091291
100000,10000,1024,1,901.051,198.507,705.077,0.070508
100000,10000,2048,1,797.839,375.784,904.989,0.090499
100000,50000,128,1,185.083,27.399,862.581,0.017252
100000,50000,256,1,318.62,52.32,993.982,0.01988
100000,50000,512,1,606.529,94.269,295.085,0.005902
100000,50000,1024,1,281.904,197.078,905.857,0.018117
100000,50000,2048,1,442.745,384.909,551.739,0.011035
100000,100000,128,1,212.261,27.317,769.852,0.007699
100000,100000,256,1,417.586,51.729,691.138,0.006911
100000,100000,512,1,806.08,100.329,336.108,0.003361
100000,100000,1024,1,622.664,185.204,826.601,0.008266
100000,100000,2048,1,254.891,366.211,214.476,0.002145
100000,500000,128,1,602.72,27.233,700.053,0.0014
100000,500000,256,1,221.509,48.714,64.019,0.000128
100000,500000,512,1,442.76,94.867,962.066,0.001924
100000,500000,1024,1,861.062,185.188,975.026,0.00195
100000,500000,2048,1,945.347,387.522,453.388,0.000907
500000,10000,128,1,513.522,124.813,531.49,0.053149
500000,10000,256,1,99.467,244.313,28.077,0.002808
500000,10000,512,1,168.518,456.11,917.302,0.09173
500000,10000,1024,1,596.364,927.403,485.451,0.048545
500000,10000,2048,1,62.617,835.028,643.395,0.06434
500000,50000,128,1,562.631,118.399,586.276,0.011726
500000,50000,256,1,117.952,233.766,424.625,0.008493
500000,50000,512,1,216.784,467.318,60.295,0.001206
500000,50000,1024,1,417.823,917.838,98.939,0.001979
500000,50000,2048,1,16.274,894.635,408.111,0.008162
500000,100000,128,1,624.172,124.844,376.387,0.003764
500000,100000,256,1,244.058,230.483,839.915,0.008399
500000,100000,512,1,512.115,457.39,297.78,0.002978
500000,100000,1024,1,995.479,950.958,922.372,0.009224
500000,100000,2048,1,992.146,907.079,43.769,0.000438
500000,500000,128,1,51.752,124.585,447.649,0.000895
500000,500000,256,1,51.926,230.604,70.261,0.000141
500000,500000,512,1,86.531,455.947,310.632,0.000621
500000,500000,1024,1,124.846,917.497,984.777,0.00197
500000,500000,2048,1,804.965,814.195,187.827,0.000376
1000000,10000,128,1,40.141,230.997,657.112,0.065711
1000000,10000,256,1,114.666,456.583,14.315,0.001432
1000000,10000,512,1,65.283,916.539,844.183,0.084418
1000000,10000,1024,1,986.042,834.705,10.332,0.001033
1000000,10000,2048,1,938.299,652.45,823.306,0.082331
1000000,50000,128,1,60.661,230.291,461.3,0.009226
1000000,50000,256,1,145.947,467.252,763.63,0.015273
1000000,50000,512,1,218.299,921.341,158.984,0.00318
1000000,50000,1024,1,411.488,831.787,493.889,0.009878
1000000,50000,2048,1,929.586,654.03,391.141,0.007823
1000000,100000,128,1,104.752,238.887,739.103,0.007391
1000000,100000,256,1,246.789,481.456,314.286,0.003143
1000000,100000,512,1,561.233,949.493,34.727,0.000347
1000000,100000,1024,1,201.686,880.244,658.685,0.006587
1000000,100000,2048,1,877.514,713.28,564.221,0.005642
1000000,500000,128,1,621.041,245.071,590.678,0.001181
1000000,500000,256,1,108.185,464.484,848.236,0.001696
1000000,500000,512,1,200.463,960.683,909.369,0.001819
1000000,500000,1024,1,487.92,923.791,236.311,0.000473
1000000,500000,2048,1,868.869,766.42,587.346,0.001175
2000000,10000,128,1,75.592,456.834,943.391,0.094339
2000000,10000,256,1,122.893,941.719,39.93,0.003993
2000000,10000,512,1,979.694,813.215,163.49,0.016349
2000000,10000,1024,1,502.781,706.421,317.077,0.031708
2000000,10000,2048,1,196.657,445.281,494.981,0.049498
2000000,50000,128,1,74.503,456.201,85.957,0.001719
2000000,50000,256,1,64.333,908.017,177.078,0.003542
2000000,50000,512,1,117.429,831.311,165.441,0.003309
2000000,50000,1024,1,308.752,657.153,91.64,0.001833
2000000,50000,2048,1,513.989,439.011,116.247,0.002325
2000000,100000,128,1,160.804,458.583,131.365,0.001314
2000000,100000,256,1,331.344,928.997,932.364,0.009324
2000000,100000,512,1,625.58,902.088,200.257,0.002003
2000000,100000,1024,1,781.69,695.83,850.611,0.008506
2000000,100000,2048,1,25.984,282.363,628.214,0.006282
2000000,500000,128,1,515.023,471.755,38.602,0.000077
2000000,500000,256,1,51.739,949.026,920.884,0.001842
2000000,500000,512,1,133.019,835.337,884.058,0.001768
2000000,500000,1024,1,450.546,720.326,785.706,0.001571
2000000,500000,2048,1,45.74,467.807,57.244,0.000114
