nb, nq, d, topk, generate_data_time (millisecs), index_time (millisecs), search_time (millisecs), search_time / nq (millisecs)
100000,10000,256,1,229.789000,51.716000,445.368000,0.044537
100000,10000,512,1,476.867000,94.956000,649.452000,0.064945
100000,10000,128,1,111.260000,25.671000,820.031000,0.082003
100000,10000,256,1,220.554000,48.918000,444.831000,0.044483
100000,10000,512,1,449.236000,94.121000,912.914000,0.091291
100000,10000,1024,1,901.051000,198.507000,705.077000,0.070508
100000,10000,2048,1,797.839000,375.784000,904.989000,0.090499
100000,50000,128,1,185.083000,27.399000,862.581000,0.017252
100000,50000,256,1,318.620000,52.320000,993.982000,0.019880
100000,50000,512,1,606.529000,94.269000,295.085000,0.005902
100000,50000,1024,1,281.904000,197.078000,905.857000,0.018117
100000,50000,2048,1,442.745000,384.909000,551.739000,0.011035
100000,100000,128,1,212.261000,27.317000,769.852000,0.007699
100000,100000,256,1,417.586000,51.729000,691.138000,0.006911
100000,100000,512,1,806.080000,100.329000,336.108000,0.003361
100000,100000,1024,1,622.664000,185.204000,826.601000,0.008266
100000,100000,2048,1,254.891000,366.211000,214.476000,0.002145
100000,500000,128,1,602.720000,27.233000,700.053000,0.001400
100000,500000,256,1,221.509000,48.714000,64.019000,0.000128
100000,500000,512,1,442.760000,94.867000,962.066000,0.001924
100000,500000,1024,1,861.062000,185.188000,975.026000,0.001950
100000,500000,2048,1,945.347000,387.522000,453.388000,0.000907
500000,10000,128,1,513.522000,124.813000,531.490000,0.053149
500000,10000,256,1,99.467000,244.313000,28.077000,0.002808
500000,10000,512,1,168.518000,456.110000,917.302000,0.091730
500000,10000,1024,1,596.364000,927.403000,485.451000,0.048545
500000,10000,2048,1,62.617000,835.028000,643.395000,0.064340
500000,50000,128,1,562.631000,118.399000,586.276000,0.011726
500000,50000,256,1,117.952000,233.766000,424.625000,0.008493
500000,50000,512,1,216.784000,467.318000,60.295000,0.001206
500000,50000,1024,1,417.823000,917.838000,98.939000,0.001979
500000,50000,2048,1,16.274000,894.635000,408.111000,0.008162
500000,100000,128,1,624.172000,124.844000,376.387000,0.003764
500000,100000,256,1,244.058000,230.483000,839.915000,0.008399
500000,100000,512,1,512.115000,457.390000,297.780000,0.002978
500000,100000,1024,1,995.479000,950.958000,922.372000,0.009224
500000,100000,2048,1,992.146000,907.079000,43.769000,0.000438
500000,500000,128,1,51.752000,124.585000,447.649000,0.000895
500000,500000,256,1,51.926000,230.604000,70.261000,0.000141
500000,500000,512,1,86.531000,455.947000,310.632000,0.000621
500000,500000,1024,1,124.846000,917.497000,984.777000,0.001970
500000,500000,2048,1,804.965000,814.195000,187.827000,0.000376
1000000,10000,128,1,40.141000,230.997000,657.112000,0.065711
1000000,10000,256,1,114.666000,456.583000,14.315000,0.001432
1000000,10000,512,1,65.283000,916.539000,844.183000,0.084418
1000000,10000,1024,1,986.042000,834.705000,10.332000,0.001033
1000000,10000,2048,1,938.299000,652.450000,823.306000,0.082331
1000000,50000,128,1,60.661000,230.291000,461.300000,0.009226
1000000,50000,256,1,145.947000,467.252000,763.630000,0.015273
1000000,50000,512,1,218.299000,921.341000,158.984000,0.003180
1000000,50000,1024,1,411.488000,831.787000,493.889000,0.009878
